"item_id","is_used","count(*)"
1,0,15137
2,0,15145
3,0,15140
4,0,15133
5,0,15141
6,0,16
6,1,15133
7,0,1
8,0,1
9,0,16
9,1,15133
10,0,1
10,1,15133
11,0,15133
12,0,105
12,1,15133
13,0,1
13,1,15133
14,0,328
14,1,15133
15,0,4
15,1,15133
16,0,4
16,1,15133
17,0,4
17,1,15133
18,0,17
18,1,15133
19,0,30
19,1,15133
20,0,39
20,1,15133
21,0,38
21,1,15133
24,0,4
24,1,15133
25,0,8
25,1,15133
27,0,15133
28,0,1362
28,1,15133
29,0,374
29,1,15133
30,0,10033
30,1,5103
31,0,113
31,1,15133
32,0,10
32,1,15133
33,0,6
33,1,15133
34,0,6
34,1,15133
35,0,45
35,1,15133
36,0,18
36,1,15133
37,0,15138
38,0,15135
39,0,15135
40,0,15133
41,0,1285
41,1,15133
42,0,12161
42,1,2997
43,0,12155
43,1,2997
44,0,12154
44,1,2997
45,0,35
45,1,15133
46,0,15204
47,0,15170
48,0,2
48,1,15133
49,0,15146
50,0,10393
50,1,4777
51,0,11
51,1,15133
52,0,9
52,1,15133
54,0,15833
55,0,15166
56,0,15199
57,0,15173
58,0,15183
59,0,15161
60,0,15214
61,0,15219
62,0,15167
63,0,15133
64,0,15133
65,0,15133
66,0,2
66,1,15133
67,0,3
67,1,15133
68,0,65
68,1,15133
69,0,47
69,1,15133
70,0,34
70,1,15133
71,0,29
71,1,15133
72,0,15
72,1,15133
73,0,12
73,1,15133
74,0,11
74,1,15133
75,0,16750
76,0,1
76,1,15133
77,0,11
77,1,15133
78,0,16
78,1,15133
79,0,193
79,1,15133
80,0,8
80,1,15133
81,0,9
81,1,15133
82,0,10
82,1,15133
83,0,12
83,1,15133
84,0,15
84,1,15133
85,0,89
85,1,15133
86,0,317
86,1,15133
87,0,110
87,1,15133
88,0,12
88,1,15133
89,0,15133
90,0,15147
91,0,15133
92,0,15133
93,0,536
93,1,15133
94,0,36
94,1,15133
95,0,15161
97,0,15198
98,0,453
98,1,15133
99,0,382
99,1,15133
100,0,556
100,1,15133
101,0,517
101,1,15133
105,0,15134
106,0,15332
107,0,15213
108,0,15133
109,0,35
109,1,15133
110,0,2
110,1,15133
111,0,15151
112,0,15141
113,0,15149
114,0,15135
115,0,15134
116,0,15135
117,0,15143
118,0,15138
119,0,15138
120,0,15137
121,0,15134
122,0,15134
123,0,15135
124,0,15135
125,0,15135
126,0,15137
127,0,15135
128,0,15137
129,0,15134
130,0,15134
131,0,15136
132,0,15134
133,0,15133
134,0,15134
135,0,15135
136,0,15133
137,0,15133
138,0,15134
139,0,15136
140,0,15138
141,0,15134
142,0,15134
143,0,15135
144,0,15138
145,0,15133
146,0,15137
147,0,15136
148,0,15138
149,0,15145
150,0,3
150,1,15133
151,0,635
151,1,15133
152,0,4
152,1,15133
153,0,2
153,1,15133
154,0,2
154,1,15133
155,0,3
155,1,15133
156,0,2
156,1,15133
157,0,1
157,1,15133
158,0,1
158,1,15133
159,0,2
159,1,15133
160,0,1
160,1,15133
161,0,1
161,1,15133
162,0,1
162,1,15133
163,0,625
163,1,15133
164,0,112
164,1,15133
165,0,96
165,1,15133
166,0,2
166,1,15133
167,0,106
167,1,15133
168,0,15202
169,0,15134
170,0,1
170,1,15133
171,0,1
171,1,15133
172,0,5
172,1,15133
173,0,4
173,1,15133
174,0,15134
176,0,15136
177,0,2
178,0,1
179,0,1
180,0,15134
181,0,7
181,1,15133
182,0,5
182,1,15133
183,0,54
183,1,15133
184,0,1
186,0,15247
188,0,2
188,1,15133
189,0,1
189,1,15133
190,0,2
190,1,15133
191,0,2
192,0,3
192,1,15133
193,0,1
193,1,15133
194,0,2
194,1,15133
198,0,5
198,1,15133
200,0,1
200,1,15133
201,0,16766
202,0,15145
203,0,2
203,1,15133
204,0,170
204,1,15133
205,0,2
205,1,15133
206,0,1
206,1,15133
207,0,2
207,1,15133
208,0,2
208,1,15133
209,0,2
209,1,15133
210,0,4
210,1,15133
211,0,2
211,1,15133
212,0,31
212,1,15133
213,0,117
213,1,15133
214,0,15199
215,0,4
215,1,15133
216,0,3
216,1,15133
217,0,3
217,1,15133
220,0,15134
221,0,7
221,1,15133
222,0,1
222,1,15133
223,0,15135
224,0,3
224,1,15133
225,0,15142
226,0,3
226,1,15133
227,0,3
227,1,15133
228,0,22
228,1,15133
229,0,3
229,1,15133
230,0,15133
231,1,15133
232,0,15133
233,0,1
233,1,15133
234,0,3
234,1,15133
235,0,1
235,1,15133
236,0,15135
237,0,1
238,0,3
238,1,15133
239,0,23
239,1,15133
240,0,1
240,1,15133
241,0,1
241,1,15133
242,0,1
242,1,15133
243,0,2
243,1,15133
244,0,20
244,1,15133
245,0,15134
246,0,1
246,1,15133
247,0,2
247,1,15133
248,0,2
248,1,15133
249,0,3319
250,0,1
250,1,15133
251,0,1
251,1,15133
253,0,107
253,1,15133
254,0,29
254,1,15133
255,0,148
255,1,15133
256,0,627
256,1,15133
257,0,367
257,1,15133
258,0,420
258,1,15133
259,0,366
259,1,15133
260,0,3
260,1,15133
261,0,2
261,1,15133
262,0,15150
263,0,15
263,1,15133
264,0,8
264,1,15133
265,0,5
265,1,15133
266,0,9
266,1,15133
267,0,587
267,1,15133
269,0,2
269,1,15133
270,0,15191
271,0,2
271,1,15133
272,0,4
272,1,15133
273,0,4
273,1,15133
274,0,4
274,1,15133
275,0,15135
276,0,4
276,1,15133
277,0,2
277,1,15133
278,0,28
278,1,15133
279,0,27
279,1,15133
280,0,11
280,1,15133
281,0,10
281,1,15133
282,0,15133
283,0,3
284,0,16
284,1,15133
285,0,8
285,1,15133
286,0,15
286,1,15133
287,0,12
287,1,15133
288,0,14
288,1,15133
289,0,5
289,1,15133
290,0,3
290,1,15133
291,0,8
291,1,15133
292,0,5
292,1,15133
293,0,4
293,1,15133
294,0,32
294,1,15133
295,0,3
295,1,15133
296,0,2
296,1,15133
297,0,22
297,1,15133
298,0,15134
299,0,2
299,1,15133
300,0,2
300,1,15133
301,0,2
301,1,15133
302,0,2
302,1,15133
304,0,79
304,1,15133
305,0,1
305,1,15133
306,0,2
307,0,1
308,0,340
308,1,15133
309,0,15134
310,0,1
310,1,15133
311,0,2
311,1,15133
312,0,15479
313,0,15140
314,0,18
314,1,15133
315,0,26
315,1,15133
316,0,15134
317,0,14
317,1,15133
318,0,15393
319,0,15431
320,0,4
320,1,15133
321,0,15230
322,0,15134
323,0,8
323,1,15133
324,1,15133
325,1,15133
326,0,15135
327,0,15139
328,0,18
328,1,15133
329,0,6
329,1,15133
330,0,15
330,1,15133
331,0,4
331,1,15133
332,0,2
332,1,15133
334,0,8
334,1,15133
335,0,3
